seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
37,392,49,1505,1505,1519,-31,-18,-18,0,56,0,0,0,-14,1487,1551,613,630,0,0,8031,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
38,400,50,1505,1505,1519,-65,-18,-18,0,56,0,0,0,-4,1454,1584,610,632,0,0,9607,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
39,408,51,1505,1505,1519,-40,-18,-18,0,55,0,0,0,-9,1478,1560,612,632,0,0,9607,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
40,416,52,1505,1505,1519,-80,-18,-18,0,56,0,0,0,0,1438,1599,612,632,0,0,8052,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5
41,424,53,1505,1505,1519,-94,-18,-18,0,57,0,0,0,6,1424,1614,614,630,0,0,8052,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5
42,432,54,1505,1505,1518,-82,-18,-18,0,57,0,0,0,4,1435,1600,619,630,0,0,8052,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5
43,464,58,2508,2508,2572,-104,-18,-18,0,60,0,0,0,10,2467,2676,620,624,0,0,8044,111,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
44,496,62,2348,1505,2251,-136,-18,-18,0,65,0,0,0,20,2114,2388,679,692,0,0,8069,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
45,504,63,2188,1505,2061,-157,-18,-18,0,68,0,0,0,28,1903,2219,726,733,0,0,8069,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
46,512,64,2028,1505,1869,-114,-18,-18,0,69,0,0,0,18,1754,1984,780,775,0,0,8069,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
47,520,65,1868,1505,1681,-104,-18,-20,-2,70,0,0,0,10,1577,1785,824,811,0,0,9521,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
48,528,66,1708,1505,1513,-105,-18,-20,-2,70,0,0,0,9,1408,1618,824,811,0,0,9521,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
49,536,67,1548,1505,1308,-80,-20,-20,0,70,0,0,0,2,1227,1388,861,844,0,0,8040,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
50,544,68,1505,1505,1322,-64,-20,-20,0,69,0,0,0,-3,1257,1386,883,865,0,0,8040,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
51,552,69,1505,1505,1324,-34,-20,-20,0,67,0,0,0,-12,1290,1359,910,890,0,0,8040,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
