seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,32,4,2128,2128,2468,-83,4,4,0,-1,0,0,0,15,2384,2552,0,-1,0,0,3570,1057,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,64,8,2128,2128,2465,-223,4,4,0,10,0,0,0,39,2241,2689,43,33,0,0,3611,1057,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,96,12,2128,2128,2397,-256,2,2,0,26,0,0,0,43,2140,2654,190,159,0,0,3691,1057,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,128,16,2128,2128,2319,-472,-2,-2,0,47,0,0,0,71,1847,2792,353,305,0,0,3696,1077,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,160,20,2128,2128,2238,-547,-6,-6,0,69,0,0,0,78,1691,2785,519,464,0,0,3971,1199,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,192,24,2128,2128,2172,-502,-12,-14,-2,84,0,0,0,30,1670,2674,651,596,0,0,3879,1019,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,224,28,2128,2128,2102,-311,-14,-16,-2,78,0,0,0,-20,1791,2413,777,751,0,0,4085,1058,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,256,32,1866,1558,1729,-190,-18,-16,2,61,0,0,0,-48,1538,1919,817,852,0,0,3893,1068,52,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,288,36,1558,1558,1448,-311,-18,-16,2,48,0,0,0,-42,1136,1759,850,900,0,0,5783,902,44,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,320,40,1558,1558,1436,-296,-18,-16,2,35,0,0,0,-47,1140,1733,873,924,0,0,3829,1019,50,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10,352,44,1558,1558,1441,-277,-18,-14,4,12,0,0,0,-52,1164,1718,860,917,0,0,7276,902,44,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
11,384,48,1558,1558,1455,-259,-18,-12,6,5,0,0,0,-49,1195,1714,833,890,0,0,3787,1039,51,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
12,416,52,1805,1805,1725,-308,-14,-10,4,-19,0,0,0,-37,1417,2033,811,869,0,0,5872,962,47,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13,448,56,2128,2128,2068,-421,-14,-8,6,-21,0,0,0,-21,1646,2490,801,863,0,0,3871,1039,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
14,480,60,2128,2128,2060,-220,-12,-6,6,-34,0,0,0,-43,1839,2281,825,870,0,0,7131,967,47,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
15,512,64,2128,2128,2041,-181,-8,-4,4,-49,0,0,0,-38,1860,2222,860,912,0,0,3758,1019,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
16,544,68,2128,2128,2020,-141,-6,0,6,-59,0,0,0,-34,1879,2161,905,951,0,0,3743,1000,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
