seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2926,-340,4,4,0,8,0,0,0,55,2585,3266,8,5,0,0,3485,1077,118,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2832,-132,0,0,0,29,0,0,0,21,2699,2965,221,167,0,0,3715,1102,118,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2672,133,0,0,0,23,0,0,0,-16,2805,2538,513,517,0,0,6924,1141,118,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2522,434,0,0,0,2,0,0,0,-57,2956,2087,797,833,0,0,5697,1011,118,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2419,-288,-2,0,2,24,0,0,0,46,2131,2707,1016,1025,0,0,3719,1098,118,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2359,-263,-2,-2,0,15,0,0,0,31,2095,2622,1117,1164,0,0,3458,1079,118,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,2552,2322,-222,-6,-6,0,28,0,0,0,17,2100,2545,1230,1197,0,0,3506,1098,118,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,384,48,2552,2552,2283,-109,-10,-8,2,21,0,0,0,-34,2174,2392,1287,1297,0,0,6968,1143,118,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,432,54,2552,2552,2257,-147,-10,-6,4,7,0,0,0,-34,2110,2405,1322,1365,0,0,5739,1011,117,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480,60,2552,2552,2248,-312,-8,-6,2,-5,0,0,0,-12,1936,2561,1329,1394,0,0,3822,978,117,47,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,528,66,2552,2552,2237,-112,-6,-2,4,-25,0,0,0,-29,2124,2350,1359,1410,0,0,3555,857,117,41,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
