seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,ip_visual_row,ip_ctrl_row,ip_ctrl_dir,ip_ctrl_score,ip_ctrl_reason,fast_ra_type,fast_front,fast_left,fast_right,line_takeover_ready,line_takeover_cnt,exit_boost_active,exit_boost_cnt,hard_outer_dynamic,yaw_pred,yaw_remain,outer_scale,takeover_valid_rows,takeover_error,takeover_lookahead,takeover_trend,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2929,-306,4,4,0,3,0,0,0,45,2623,3236,1,-2,0,0,3395,1318,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2825,-158,-2,-2,0,30,0,0,0,24,2667,2984,238,177,0,0,3574,1461,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2679,388,-4,-4,0,14,0,0,0,-58,3068,2291,493,506,0,0,5402,1318,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2546,-315,-2,-4,-2,35,0,0,0,42,2231,2861,772,760,0,0,6856,1454,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2467,45,-8,-8,0,11,0,0,0,-48,2513,2422,910,937,0,0,3448,1308,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2405,-455,-8,-6,2,6,0,0,0,14,1949,2861,1016,1081,0,0,3529,1308,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,2552,2351,171,-10,-8,2,-20,0,0,0,-84,2523,2179,1136,1176,0,0,3413,1454,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
7,384,48,2552,2552,2317,-207,-8,-4,4,-27,0,0,0,-22,2110,2524,1195,1254,0,0,5678,1208,117,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
8,432,54,2552,2552,2289,-188,-8,-4,4,-34,0,0,0,-25,2101,2477,1258,1303,0,0,6811,1413,117,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480,60,2552,2552,2270,-165,-6,-2,4,-46,0,0,0,-20,2104,2435,1289,1349,0,0,3639,1208,117,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
10,528,66,2552,2552,2252,-16,-4,0,4,-56,0,0,0,-17,2235,2269,1333,1375,0,0,3577,1168,117,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
11,576,72,1018,1450,146,0,-2,2,4,-55,0,0,0,-5,146,146,1367,1383,1,0,3581,1212,117,41,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,7,0,0,0,1
12,584,73,1450,1450,1117,0,-2,2,4,-55,0,0,0,-3,1117,1117,1371,1375,2,0,3581,1212,117,41,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,7,0,0,0,2
13,592,74,1450,1450,933,-138,-2,2,4,-52,0,0,0,12,795,1072,1374,1380,3,0,3581,1212,117,41,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,7,0,0,0,3
14,600,75,1450,1450,941,-94,0,-2,-2,-53,0,0,0,4,846,1036,1391,1406,4,0,8501,1001,117,37,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,7,0,0,0,4
15,608,76,1450,1450,960,-45,0,-2,-2,-54,0,0,0,-4,915,1005,1391,1406,5,0,8501,1001,117,37,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,7,0,0,0,5
16,616,77,1450,1450,986,-30,-2,-12,-10,-56,1,0,0,-17,955,1016,1378,1403,6,0,8151,961,117,35,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,7,0,0,0,6
17,624,78,1450,1450,1048,4,-2,-12,-10,-58,3,0,0,-22,1052,1044,1332,1354,7,0,8151,961,117,35,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,7,0,0,0,7
18,632,79,1450,1450,1109,-82,-2,-12,-10,-59,4,0,0,-16,1026,1191,1309,1327,8,0,7418,961,117,35,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,7,0,0,0,8
19,640,80,1450,1450,888,-1008,2,-2,-4,-61,0,800,1897,-21,-120,1897,1309,1327,9,1,7418,2797,117,27,0,1,3,1,18,38,18,0,0,0,0,0,1,0,1,0,58,58,58,0,100,1,0,1,0,0,0,0,0,0,1850,6,793,100,0,0,0,0,1,37,24,84,7,5,18,80,8
20,648,81,1450,1450,888,-1008,2,-2,-4,-63,2,800,1897,-25,-120,1897,1309,1327,10,2,7418,2797,117,27,0,1,3,1,58,38,18,0,0,0,0,0,1,0,1,0,58,58,58,0,100,1,0,1,0,0,0,0,0,0,1850,10,789,100,27,2,-2,-4,1,37,24,84,7,0,18,80,8
21,656,82,1450,1450,888,-1008,2,0,-2,-73,12,800,1897,-73,-120,1897,1309,1327,11,3,6900,2684,117,21,0,1,3,1,70,38,18,0,0,0,0,0,1,0,1,0,70,70,70,0,100,1,0,1,0,0,0,0,0,0,1850,34,765,100,21,2,0,-2,7,43,24,84,7,0,18,80,8
22,664,83,1450,1450,888,-1008,2,0,-2,-82,20,800,1897,-106,-120,1897,1210,1261,12,4,6900,2684,117,21,0,1,3,1,70,38,18,0,0,0,0,0,1,0,1,0,70,70,70,0,100,1,0,1,0,0,0,0,0,0,1850,52,747,100,21,2,0,-2,7,43,24,84,7,0,18,80,8
23,672,84,1450,1450,888,-1008,2,0,-2,-105,44,800,1897,-183,-120,1897,1191,1223,13,5,7736,2684,117,21,0,1,3,1,70,38,18,0,0,0,0,0,1,0,1,0,70,70,70,0,100,1,0,1,0,0,0,0,0,0,1850,99,700,100,21,2,0,-2,7,43,24,84,7,2,18,80,8
24,680,85,1450,1450,888,-1008,4,0,-4,-116,55,800,1897,-196,-120,1897,1146,1207,14,6,7736,3065,117,15,0,1,3,1,82,38,18,0,0,0,0,0,1,0,1,0,82,82,82,0,100,1,0,0,0,0,0,0,0,0,1850,114,685,100,15,4,0,-4,13,49,24,84,7,0,18,80,8
25,688,86,1450,1450,1455,-1455,4,0,-4,-142,81,800,2910,-230,0,2910,1146,1207,15,7,7736,3065,117,15,0,1,3,1,82,38,18,0,0,0,0,0,1,0,1,0,82,82,82,0,100,1,0,0,0,0,0,0,0,0,1850,150,649,100,15,4,0,-4,13,49,24,84,7,0,18,80,8
26,696,87,1450,1450,1457,-1457,2,0,-2,-165,103,800,2914,-229,0,2914,1092,1216,16,8,5796,3006,117,8,0,1,3,1,96,38,18,0,0,0,0,0,1,0,1,0,96,96,96,0,100,1,0,0,0,0,0,0,0,0,1850,172,627,100,8,2,0,-2,20,56,27,87,5,0,18,80,8
27,704,88,1450,1450,1425,-1425,2,0,-2,-180,119,800,2851,-257,0,2851,1020,1213,17,9,5796,3006,116,8,0,1,3,1,96,38,18,0,0,0,0,0,1,0,1,0,96,96,96,0,100,1,0,0,0,0,0,0,0,0,1850,196,603,100,8,2,0,-2,20,56,27,87,5,0,18,80,8
28,712,89,1450,1450,1294,-1294,2,0,-2,-220,159,800,2589,-342,0,2589,884,1195,18,10,5399,3006,116,8,0,1,3,1,96,38,18,0,0,0,0,0,1,0,1,0,96,96,92,0,100,1,0,0,0,0,0,0,0,0,1850,262,537,100,8,2,0,-2,20,56,27,87,7,0,18,80,8
29,720,90,1450,1450,1238,-1238,-14,0,14,-243,181,800,2477,-378,0,2477,689,1177,19,11,5399,3979,116,3,0,1,3,1,106,38,18,0,0,0,0,0,1,0,0,0,106,106,106,0,100,1,0,0,0,0,0,0,0,0,1850,295,504,100,3,-14,0,14,23,59,33,93,7,0,18,80,8
30,728,91,1450,1450,1126,-1126,-14,0,14,-293,231,800,2253,-450,0,2253,689,1177,20,12,5399,3979,116,3,0,1,3,1,106,38,18,0,0,0,0,0,1,0,0,0,106,106,106,0,100,1,0,0,0,0,0,0,0,0,1850,367,432,100,3,-14,0,14,23,59,33,93,7,0,18,80,8
31,736,92,1450,1450,1113,-1113,-30,0,30,-339,278,800,2226,-459,0,2226,630,1190,21,13,5214,4553,116,1,0,1,3,1,110,38,18,0,0,0,0,0,1,0,0,0,110,110,110,0,100,1,0,0,0,0,0,0,0,0,1850,416,383,100,1,-30,0,30,23,59,33,93,7,0,18,80,8
32,744,93,1450,1450,775,-775,-30,0,30,-362,301,800,1551,-459,0,1551,637,1217,22,14,5214,4553,116,1,0,1,3,1,110,38,18,0,0,0,0,0,1,0,0,0,110,110,110,0,100,1,0,0,0,0,0,0,0,0,1850,439,360,100,1,-30,0,30,23,59,33,93,7,0,18,80,8
33,752,94,1450,1450,775,-775,-30,0,30,-407,346,800,1551,-448,0,1551,637,1217,23,15,5838,4553,116,1,0,1,3,1,110,38,18,0,0,0,0,0,1,0,0,0,110,110,106,0,100,1,0,0,0,0,0,0,0,0,1850,480,319,100,1,-30,0,30,23,59,33,93,7,0,18,80,8
34,760,95,1450,1450,775,-775,-46,0,46,-430,368,800,1551,-452,0,1551,637,1217,24,16,5838,5174,116,6,0,1,3,1,110,38,18,0,0,0,0,0,1,0,0,0,110,110,110,0,100,1,0,0,0,0,0,0,0,0,1443,504,295,78,6,-46,0,46,23,59,33,93,7,0,18,80,8
35,768,96,1450,1450,775,-775,-46,0,46,-468,407,800,1551,-407,0,1551,637,1217,25,17,5838,5174,116,6,0,1,3,1,110,38,18,0,0,0,0,0,1,0,0,0,110,110,110,0,100,1,0,0,0,0,0,0,0,0,1443,529,270,78,6,-46,0,46,23,59,33,93,7,0,18,80,8
36,776,97,1450,1450,983,-983,-62,0,62,-508,447,800,1967,-407,0,1967,564,1186,26,18,6049,4351,116,12,0,1,3,1,116,38,18,0,0,0,0,0,1,0,0,0,116,116,116,0,100,1,0,0,0,0,0,0,0,0,1443,569,230,78,12,-62,0,62,23,59,33,93,7,0,18,80,8
37,784,98,1450,1450,999,-999,-62,0,62,-527,466,800,1999,-396,0,1999,480,1172,27,19,6049,4351,116,12,0,1,3,1,116,38,18,0,0,0,0,0,1,0,0,0,116,116,116,0,100,1,0,0,0,0,0,0,0,0,1443,585,214,78,12,-62,0,62,23,59,33,93,7,0,18,80,8
